751312.406925822;	cycle,it,executionDll, simulationDll, executionTrainLl, simulationTrainLl,realTrainLl, executionValidLl, realValidLl, executionTestLl, realTestLl
751447.4347188411;	0.0,54.0,106.23993994743213,106.23993994743213,-54081.730900428236,-54081.730900428236,-54081.730900428236,-10831.40627149754,-10831.40627149754,0.0,0.0
751449.910190526;	0.0,55.0,281.85622048776304,281.85622048776304,-53799.87467994047,-53799.87467994047,-53799.87467994047,-10770.143901343528,-10770.143901343528,0.0,0.0
751458.0657257701;	0.0,56.0,206.0412370005778,206.0412370005778,-53593.83344293989,-53593.83344293989,-53593.83344293989,-10722.861762869317,-10722.861762869317,0.0,0.0
751458.307228319;	0.0,57.0,23.741787943656163,23.741787943656163,-53570.091654996235,-53570.091654996235,-53570.091654996235,-10719.21060739254,-10719.21060739254,0.0,0.0
751474.163557839;	0.0,58.0,150.30128108940045,150.30128108940045,-53419.790373906835,-53419.790373906835,-53419.790373906835,-10690.276210446937,-10690.276210446937,0.0,0.0
751488.031445835;	0.0,59.0,78.06871561880469,78.06871561880469,-53341.72165828805,-53341.72165828805,-53341.72165828805,-10674.877998218799,-10674.877998218799,0.0,0.0
751490.9677980801;	0.0,60.0,6.6996813823948855,6.6996813823948855,-53335.02197690566,-53335.02197690566,-53335.02197690566,-10673.404493607652,-10673.404493607652,0.0,0.0
751505.4176851701;	0.0,61.0,14.349697131070258,14.349697131071167,-53320.67227977459,-53320.67227977458,-53320.67227977459,-10672.029692229631,-10672.029692229631,0.0,0.0
751527.95899331;	0.0,62.0,109.47653496567239,109.47653496567239,-53211.19574480891,-53211.19574480891,-53211.19574480891,-10657.566624760639,-10657.566624760639,0.0,0.0
751547.6299282641;	0.0,63.0,77.8622262053608,77.86222620536078,-53133.33351860355,-53133.33351860355,-53133.33351860355,-10646.534172748585,-10646.534172748585,0.0,0.0
751551.224907699;	0.0,64.0,7.264580739228705,7.264580739228705,-53126.06893786432,-53126.06893786432,-53126.06893786432,-10644.429510883945,-10644.429510883945,0.0,0.0
751551.3430979841;	0.0,65.0,24.496810124671796,24.496810124671796,-53101.57212773964,-53101.57212773964,-53101.57212773964,-10636.270007267622,-10636.270007267622,0.0,0.0
751556.097257524;	0.0,66.0,24.56054850013517,24.56054850013517,-53077.011579239515,-53077.011579239515,-53077.011579239515,-10633.31825896855,-10633.31825896855,0.0,0.0
751560.197020925;	0.0,67.0,34.67253432763445,34.67253432763445,-53042.33904491189,-53042.33904491189,-53042.33904491189,-10628.28026618001,-10628.28026618001,0.0,0.0
751567.687475814;	0.0,68.0,31.48484629737326,31.48484629737326,-53010.85419861451,-53010.85419861451,-53010.85419861451,-10629.198591087834,-10629.198591087834,0.0,0.0
751572.0014065531;	0.0,69.0,46.43674491709032,46.43674491709032,-52964.417453697424,-52964.417453697424,-52964.417453697424,-10618.537864597032,-10618.537864597032,0.0,0.0
