752279.465558271;	cycle,it,executionDll, simulationDll, executionTrainLl, simulationTrainLl,realTrainLl, executionValidLl, realValidLl, executionTestLl, realTestLl
752967.794408523;	0.0,22.0,6729.064311314754,6729.064311314754,-386816.47446260625,-386816.47446260625,-386816.47446260625,-77281.68126440475,-77281.68126440475,0.0,0.0
753049.506993097;	0.0,23.0,4023.696646697008,4023.696646697008,-382792.77781590924,-382792.77781590924,-382792.77781590924,-76482.50663877188,-76482.50663877188,0.0,0.0
753071.360819877;	0.0,24.0,1891.4139737867768,1891.4139737867768,-380901.36384212243,-380901.36384212243,-380901.36384212243,-76112.6674573854,-76112.6674573854,0.0,0.0
753093.3640082411;	0.0,25.0,671.8718904801003,671.8718904801003,-380229.4919516423,-380229.4919516423,-380229.4919516423,-75983.14719037784,-75983.14719037784,0.0,0.0
753110.6287095731;	0.0,26.0,263.115128678498,263.115128678498,-379966.3768229639,-379966.3768229639,-379966.3768229639,-75930.00516754406,-75930.00516754406,0.0,0.0
753171.374075023;	0.0,27.0,263.1151643963226,263.1151643963235,-379703.2616585675,-379703.2616585675,-379703.2616585675,-75876.86573876848,-75876.86573876848,0.0,0.0
753229.8247869541;	0.0,28.0,394.6419707601291,394.6419707601291,-379308.61968780746,-379308.61968780746,-379308.61968780746,-75791.55106315891,-75791.55106315891,0.0,0.0
753245.0755289401;	0.0,29.0,101.34288219422795,101.34288219422795,-379207.2768056132,-379207.2768056132,-379207.2768056132,-75773.68516926216,-75773.68516926216,0.0,0.0
753317.677424033;	0.0,30.0,101.34041129664138,101.34041129664138,-379105.93639431655,-379105.93639431655,-379105.93639431655,-75755.8452526526,-75755.8452526526,0.0,0.0
753380.4370997851;	0.0,31.0,126.41653226861126,126.41653226861126,-378979.5198620479,-378979.5198620479,-378979.5198620479,-75725.96901904474,-75725.96901904474,0.0,0.0
753383.1267634161;	0.0,32.0,815.0300450844061,815.0300450844061,-378164.48981696356,-378164.48981696356,-378164.48981696356,-75569.40640786933,-75569.40640786933,0.0,0.0
753411.120750871;	0.0,33.0,182.16654836615908,182.16654836615908,-377982.3232685974,-377982.3232685974,-377982.3232685974,-75524.44619921196,-75524.44619921196,0.0,0.0
753414.2063482091;	0.0,34.0,403.49542547057973,403.49542547057973,-377578.8278431268,-377578.8278431268,-377578.8278431268,-75439.34607780822,-75439.34607780822,0.0,0.0
753417.093748937;	0.0,35.0,124.91751558098758,124.91751558098736,-377453.9103275458,-377453.9103275458,-377453.9103275458,-75412.0423865242,-75412.0423865242,0.0,0.0
753442.972792855;	0.0,36.0,98.86995507623396,98.86995507623419,-377355.0403724695,-377355.0403724695,-377355.0403724695,-75392.8234060102,-75392.8234060102,0.0,0.0
753469.5286389181;	0.0,37.0,118.71760607341321,118.71760607341321,-377236.32276639616,-377236.32276639616,-377236.32276639616,-75360.98098493228,-75360.98098493228,0.0,0.0
753484.0400998701;	0.0,38.0,226.377621131061,226.377621131061,-377009.94514526514,-377009.94514526514,-377009.94514526514,-75323.0180717018,-75323.0180717018,0.0,0.0
753495.5670693221;	0.0,39.0,736.5400067251921,736.5400067251921,-376273.40513853997,-376273.40513853997,-376273.40513853997,-75179.59662837588,-75179.59662837588,0.0,0.0
753545.670702178;	0.0,40.0,4216.048322137544,4216.048322137544,-372057.35681640246,-372057.35681640246,-372057.35681640246,-74350.77423066917,-74350.77423066917,0.0,0.0
753582.030210681;	0.0,41.0,227.43432804144697,227.43432804144697,-371829.922488361,-371829.922488361,-371829.922488361,-74311.06842750106,-74311.06842750106,0.0,0.0
753585.7699108721;	0.0,42.0,1482.8675762093453,1482.8675762093453,-370347.05491215165,-370347.05491215165,-370347.05491215165,-73992.10381060405,-73992.10381060405,0.0,0.0
753623.521714526;	0.0,43.0,256.621454466636,256.621454466636,-370090.433457685,-370090.433457685,-370090.433457685,-73950.30413866015,-73950.30413866015,0.0,0.0
753626.131085934;	0.0,44.0,172.80392231334008,172.80392231334008,-369917.62953537167,-369917.62953537167,-369917.62953537167,-73924.96543884817,-73924.96543884817,0.0,0.0
753630.713678458;	0.0,45.0,539.6578373935222,539.6578373935222,-369377.97169797815,-369377.97169797815,-369377.97169797815,-73808.4124451328,-73808.4124451328,0.0,0.0
753644.737054256;	0.0,46.0,248.33707209047907,248.33707209047907,-369129.6346258877,-369129.6346258877,-369129.6346258877,-73750.21443596191,-73750.21443596191,0.0,0.0
753648.218448687;	0.0,47.0,176.25310210526698,176.25310210526698,-368953.38152378233,-368953.38152378233,-368953.38152378233,-73706.97469826588,-73706.97469826588,0.0,0.0
753651.447048375;	0.0,48.0,279.02127408630463,279.0212740863038,-368674.360249696,-368674.360249696,-368674.360249696,-73648.82475907804,-73648.82475907804,0.0,0.0
753728.532059135;	0.0,49.0,432.0322515893517,432.0322515893517,-368242.32799810666,-368242.32799810666,-368242.32799810666,-73544.92847747814,-73544.92847747814,0.0,0.0
753766.3087807711;	0.0,50.0,369.09191083972837,369.09191083972655,-367873.23608726694,-367873.23608726694,-367873.23608726694,-73465.47177486953,-73465.47177486953,0.0,0.0
753773.4664192051;	0.0,51.0,153.31285971500816,153.31285971500816,-367719.92322755186,-367719.92322755186,-367719.92322755186,-73432.26842882234,-73432.26842882234,0.0,0.0
753776.3047442441;	0.0,52.0,74.90735668562091,74.90735668562091,-367645.01587086625,-367645.01587086625,-367645.01587086625,-73416.24007843857,-73416.24007843857,0.0,0.0
753881.076181071;	0.0,53.0,61.28799192594454,61.28799192594454,-367583.7278789403,-367583.7278789403,-367583.7278789403,-73401.00847200927,-73401.00847200927,0.0,0.0
753889.0137019821;	0.0,54.0,44.54098976481191,44.54098976481191,-367539.1868891755,-367539.1868891755,-367539.1868891755,-73380.39158091044,-73380.39158091044,0.0,0.0
753900.6581427001;	0.0,55.0,168.3822309172669,168.3822309172669,-367370.8046582582,-367370.8046582582,-367370.8046582582,-73348.68133069304,-73348.68133069304,0.0,0.0
753905.2067984451;	0.0,56.0,288.27155602294783,288.27155602294783,-367082.5331022353,-367082.5331022353,-367082.5331022353,-73301.60956346418,-73301.60956346418,0.0,0.0
753936.5391332861;	0.0,57.0,287.5113722675204,287.5113722675204,-366795.02172996773,-366795.02172996773,-366795.02172996773,-73251.3633359312,-73251.3633359312,0.0,0.0
753950.191142658;	0.0,58.0,36.83531910951024,36.83531910951024,-366758.18641085824,-366758.18641085824,-366758.18641085824,-73237.16659289677,-73237.16659289677,0.0,0.0
753954.816812415;	0.0,59.0,257.5406798615829,257.5406798615829,-366500.6457309966,-366500.6457309966,-366500.6457309966,-73188.35104327882,-73188.35104327882,0.0,0.0
753968.8403976021;	0.0,60.0,537.9030261806115,537.903026180612,-365962.7427048159,-365962.7427048159,-365962.7427048159,-73075.31925847959,-73075.31925847959,0.0,0.0
754044.773359588;	0.0,61.0,2178.3395533611074,2178.3395533611074,-363784.4031514548,-363784.4031514548,-363784.4031514548,-72671.56795012782,-72671.56795012782,0.0,0.0
754089.08990912;	0.0,62.0,273.29079787269984,273.29079787269984,-363511.1123535821,-363511.1123535821,-363511.1123535821,-72601.11617573959,-72601.11617573959,0.0,0.0
754093.679877153;	0.0,63.0,169.13533411223216,169.13533411223216,-363341.9770194699,-363341.9770194699,-363341.9770194699,-72587.98914354257,-72587.98914354257,0.0,0.0
754099.1314186971;	0.0,64.0,614.0014226565639,614.0014226565639,-362727.97559681337,-362727.97559681337,-362727.97559681337,-72469.41664050658,-72469.41664050658,0.0,0.0
754160.4872427341;	0.0,65.0,1620.553529122135,1620.553529122135,-361107.42206769116,-361107.42206769116,-361107.42206769116,-72180.32088941905,-72180.32088941905,0.0,0.0
754174.5590461841;	0.0,66.0,90.93465621440589,90.93465621440589,-361016.48741147673,-361016.48741147673,-361016.48741147673,-72150.9963210737,-72150.9963210737,0.0,0.0
754176.8984206311;	0.0,67.0,534.7983167618423,534.7983167618424,-360481.689094715,-360481.689094715,-360481.689094715,-72042.70393771463,-72042.70393771463,0.0,0.0
754192.9431246141;	0.0,68.0,66.1350406485731,66.1350406485731,-360415.5540540665,-360415.5540540665,-360415.5540540665,-72030.54838399566,-72030.54838399566,0.0,0.0
754242.8110045701;	0.0,69.0,111.82740780037248,111.8274078003725,-360303.72664626606,-360303.72664626606,-360303.72664626606,-72009.44368837819,-72009.44368837819,0.0,0.0
754305.3565871151;	0.0,70.0,50.15475157960259,50.15475157960259,-360253.57189468644,-360253.57189468644,-360253.57189468644,-71997.834967473,-71997.834967473,0.0,0.0
754307.680543023;	0.0,71.0,367.8001307125412,367.8001307125412,-359885.7717639739,-359885.7717639739,-359885.7717639739,-71917.39119351553,-71917.39119351553,0.0,0.0
754322.750489896;	0.0,72.0,630.4056231688519,630.4056231688519,-359255.36614080507,-359255.36614080507,-359255.36614080507,-71782.87305712423,-71782.87305712423,0.0,0.0
754414.226574377;	0.0,73.0,4368.004424394147,4368.004424394147,-354887.36171641084,-354887.36171641084,-354887.36171641084,-70914.596758974,-70914.596758974,0.0,0.0
754522.18917336;	0.0,74.0,2937.063592613051,2937.0635926130503,-351950.2981237978,-351950.2981237978,-351950.2981237978,-70399.5793698288,-70399.5793698288,0.0,0.0
754543.5867032331;	0.0,75.0,2605.4813059610433,2605.4813059610437,-349344.8168178368,-349344.8168178368,-349344.8168178368,-69897.95663014156,-69897.95663014156,0.0,0.0
754566.775725684;	0.0,76.0,239.31492951181735,239.31492951181735,-349105.501888325,-349105.501888325,-349105.501888325,-69849.71131645337,-69849.71131645337,0.0,0.0
754686.928316114;	0.0,77.0,3942.0948491725703,3942.0948491725703,-345163.4070391524,-345163.4070391524,-345163.4070391524,-69089.74280169017,-69089.74280169017,0.0,0.0
754820.6992061461;	0.0,78.0,769.0978509194041,769.0978509194032,-344394.309188233,-344394.309188233,-344394.309188233,-68933.27968568527,-68933.27968568527,0.0,0.0
754903.0908530541;	0.0,79.0,769.1124376535643,769.1124376535643,-343625.19675057963,-343625.19675057963,-343625.19675057963,-68776.81696315351,-68776.81696315351,0.0,0.0
755004.378819879;	0.0,80.0,1419.1190385032153,1419.1190385032153,-342206.0777120764,-342206.0777120764,-342206.0777120764,-68486.00802014963,-68486.00802014963,0.0,0.0
755040.3100613761;	0.0,81.0,1099.5931471821568,1099.5931471821568,-341106.4845648942,-341106.4845648942,-341106.4845648942,-68252.30942999948,-68252.30942999948,0.0,0.0
755171.2753894491;	0.0,82.0,2464.4423565640072,2464.4423565640072,-338642.04220833024,-338642.04220833024,-338642.04220833024,-67735.9013763371,-67735.9013763371,0.0,0.0
755256.7689065611;	0.0,83.0,2613.8990593213507,2613.8990593213507,-336028.143149009,-336028.143149009,-336028.143149009,-67175.13068080979,-67175.13068080979,0.0,0.0
755286.4101398031;	0.0,84.0,1545.699625832409,1545.6996258324082,-334482.4435231766,-334482.4435231766,-334482.4435231766,-66863.01067758852,-66863.01067758852,0.0,0.0
755450.786079713;	0.0,85.0,2120.1116095107927,2120.1116095107927,-332362.33191366587,-332362.33191366587,-332362.33191366587,-66424.42468067311,-66424.42468067311,0.0,0.0
755528.997505676;	0.0,86.0,102.60277636393957,102.60277636393957,-332259.72913730197,-332259.72913730197,-332259.72913730197,-66403.00181402927,-66403.00181402927,0.0,0.0
755557.1794623011;	0.0,87.0,1585.3100966144077,1585.3100966144077,-330674.4190406877,-330674.4190406877,-330674.4190406877,-66085.91839253707,-66085.91839253707,0.0,0.0
755601.2500338821;	0.0,88.0,2929.9853675989307,2929.9853675989307,-327744.4336730888,-327744.4336730888,-327744.4336730888,-65456.5456150826,-65456.5456150826,0.0,0.0
755687.730959857;	0.0,89.0,279.08512836184036,279.08512836184036,-327465.34854472696,-327465.34854472696,-327465.34854472696,-65392.92045513317,-65392.92045513317,0.0,0.0
755714.129301941;	0.0,90.0,168.3383761125524,168.3383761125524,-327297.0101686144,-327297.0101686144,-327297.0101686144,-65356.54327773225,-65356.54327773225,0.0,0.0
755718.530665098;	0.0,91.0,82.28997050801331,82.28997050801331,-327214.7201981063,-327214.7201981063,-327214.7201981063,-65338.338104983915,-65338.338104983915,0.0,0.0
756005.3422756691;	0.0,92.0,59.854135557203506,59.854135557203506,-327154.8660625491,-327154.8660625491,-327154.8660625491,-65323.13997084846,-65323.13997084846,0.0,0.0
756043.1939965;	0.0,93.0,568.6708186691153,568.6708186691153,-326586.19524387986,-326586.19524387986,-326586.19524387986,-65206.02565902146,-65206.02565902146,0.0,0.0
756047.2627784171;	0.0,94.0,722.9474092457395,722.9474092457395,-325863.24783463415,-325863.24783463415,-325863.24783463415,-65081.072026196314,-65081.072026196314,0.0,0.0
756090.5631449771;	0.0,95.0,38.89081574758873,38.89081574758873,-325824.35701888654,-325824.35701888654,-325824.35701888654,-65074.17346948766,-65074.17346948766,0.0,0.0
756331.368542891;	0.0,96.0,773.4830715422863,773.4830715422863,-325050.87394734425,-325050.87394734425,-325050.87394734425,-64894.69300935178,-64894.69300935178,0.0,0.0
756391.9028266501;	0.0,97.0,192.85939471646574,192.85939471646574,-324858.01455262775,-324858.01455262775,-324858.01455262775,-64851.303665440326,-64851.303665440326,0.0,0.0
756428.700776919;	0.0,98.0,70.96244875468881,70.96244875468881,-324787.052103873,-324787.052103873,-324787.052103873,-64836.11347065028,-64836.11347065028,0.0,0.0
756449.730299921;	0.0,99.0,103.63190951816969,103.63190951816969,-324683.42019435484,-324683.42019435484,-324683.42019435484,-64813.08703292527,-64813.08703292527,0.0,0.0
756530.1946655371;	0.0,100.0,229.32610016290394,229.32610016290394,-324454.0940941919,-324454.0940941919,-324454.0940941919,-64764.8803038031,-64764.8803038031,0.0,0.0
