Cycle;It;Time;TotalTime;Size;Operation;TrainLL;ValidLL;TestLL
0;36;25.878967248000002;1163.542819743;1206.0;Split(713,339,1594,[C(65),C(-65)],MaxDepth(3));-32.47741116898782;-32.45493904692648;NaN
0;37;26.555765108000003;1190.0985848510002;1209.0;Split(569,35,300,[C(69),C(-69)],MaxDepth(3));-32.467193628229296;-32.44123159058643;NaN
0;38;14.511398346000002;1204.6099831970002;1215.0;Split(637,153,482,[C(14),C(-14)],MaxDepth(3));-32.44771022852785;-32.42488939806362;NaN
0;39;11.526895907;1216.1368791040002;1242.0;Split(725,271,722,[C(83),C(-83)],MaxDepth(3));-32.38431923044496;-32.36314964630903;NaN
0;40;50.103577131;1266.2404562350002;1283.0;Split(1677,339,1663,[C(82),C(-82)],MaxDepth(3));-32.021461125432694;-32.006359978764166;NaN
0;41;36.3594638;1302.5999200350002;1285.0;Clone(992,358,[{1698:992,1604:992}],MaxDepth(3));-32.00188677927197;-31.9892675107624;NaN
0;42;3.7396083790000003;1306.3395284140001;1306.0;Split(1678,339,1664,[C(82),C(-82)],MaxDepth(3));-31.874262407449148;-31.851960314508847;NaN
0;43;37.751762026;1344.0912904400002;1308.0;Clone(992,358,[{1735:992}],MaxDepth(3));-31.852176044210776;-31.833966482419353;NaN
0;44;2.609291648;1346.7005820880001;1310.0;Clone(1553,340,[{1741:1553}],MaxDepth(3));-31.837303514534096;-31.82305873389934;NaN
0;45;4.5825048310000005;1351.2830869190002;1323.0;Clone(965,229,[{1671:965}],MaxDepth(3));-31.790857362766;-31.772885254039085;NaN
0;46;14.023330324000002;1365.3064172430002;1331.0;Clone(1558,361,[{1730:1085,1731:1085}],MaxDepth(3));-31.76948400257231;-31.747832301318084;NaN
0;47;3.4813303660000003;1368.7877476090002;1336.0;Clone(345,331,[{1745:1520,1744:1520}],MaxDepth(3));-31.754314616041167;-31.729218552847993;NaN
