752084.156822968;	cycle,it,executionDll, simulationDll, executionTrainLl, simulationTrainLl,realTrainLl, executionValidLl, realValidLl, executionTestLl, realTestLl
752088.9002092921;	0.0,20.0,34.099647098754915,34.099647098754915,-11346.404897622022,-11346.404897622022,-11346.404897622022,-2280.756460067505,-2280.756460067505,0.0,0.0
752089.005182228;	0.0,21.0,5.041634927745548,5.041634927745548,-11341.363262694276,-11341.363262694276,-11341.363262694276,-2279.462580279313,-2279.462580279313,0.0,0.0
752089.356446211;	0.0,22.0,78.80756062441606,78.80756062441617,-11262.555702069865,-11262.555702069865,-11262.555702069865,-2261.7995182154195,-2261.7995182154195,0.0,0.0
752089.662844971;	0.0,23.0,46.37343363879013,46.37343363879013,-11216.182268431075,-11216.182268431075,-11216.182268431075,-2252.6513047226326,-2252.6513047226326,0.0,0.0
752089.687946156;	0.0,24.0,10.875478492722127,10.875478492722127,-11205.306789938355,-11205.306789938355,-11205.306789938355,-2251.147125245358,-2251.147125245358,0.0,0.0
752089.718163362;	0.0,25.0,6.2057312817249795,6.2057312817249795,-11199.10105865663,-11199.10105865663,-11199.10105865663,-2251.2967347998865,-2251.2967347998865,0.0,0.0
752089.8243673401;	0.0,26.0,3.0283467092581873,3.0283467092581873,-11196.07271194737,-11196.07271194737,-11196.07271194737,-2251.008791812832,-2251.008791812832,0.0,0.0
752089.9479026711;	0.0,27.0,24.84376449144561,24.84376449144561,-11171.228947455922,-11171.228947455922,-11171.228947455922,-2246.521667153166,-2246.521667153166,0.0,0.0
752090.246827445;	0.0,28.0,14.58045323128561,14.58045323128561,-11156.648494224637,-11156.648494224637,-11156.648494224637,-2242.498379872053,-2242.498379872053,0.0,0.0
752090.278312783;	0.0,29.0,29.879685617221682,29.879685617221682,-11126.768808607414,-11126.768808607414,-11126.768808607414,-2232.090274599654,-2232.090274599654,0.0,0.0
752090.689312641;	0.0,30.0,25.320682060598692,25.320682060598692,-11101.448126546817,-11101.448126546817,-11101.448126546817,-2225.0930555810123,-2225.0930555810123,0.0,0.0
752090.8101244371;	0.0,31.0,3.255760081386711,3.255760081386711,-11098.192366465431,-11098.192366465431,-11098.192366465431,-2226.6777207841264,-2226.6777207841264,0.0,0.0
752090.9502342651;	0.0,32.0,2.6963172391655235,2.6963172391655235,-11095.496049226265,-11095.496049226265,-11095.496049226265,-2227.2370178240863,-2227.2370178240863,0.0,0.0
752091.118211337;	0.0,33.0,2.004482788918729,2.004482788918729,-11093.491566437346,-11093.491566437346,-11093.491566437346,-2227.0420451497394,-2227.0420451497394,0.0,0.0
752091.1450213421;	0.0,34.0,1.5058863539459821,1.5058863539459821,-11091.9856800834,-11091.9856800834,-11091.9856800834,-2227.0483574538925,-2227.0483574538925,0.0,0.0
752091.265649307;	0.0,35.0,1.4297622490831827,1.4297622490831827,-11090.555917834317,-11090.555917834317,-11090.555917834317,-2226.514899000424,-2226.514899000424,0.0,0.0
752091.3267426081;	0.0,36.0,0.6921644290071072,0.6921644290071072,-11089.86375340531,-11089.86375340531,-11089.86375340531,-2226.9326181665638,-2226.9326181665638,0.0,0.0
752091.4555319131;	0.0,37.0,31.364562041572867,31.36456204157281,-11058.499191363737,-11058.499191363737,-11058.499191363737,-2227.9105471381417,-2227.9105471381417,0.0,0.0
752092.2896413241;	0.0,38.0,33.71954889553069,33.71954889553069,-11024.779642468206,-11024.779642468206,-11024.779642468206,-2219.8779684358315,-2219.8779684358315,0.0,0.0
752092.671832748;	0.0,39.0,28.492633775589923,28.492633775589923,-10996.287008692616,-10996.287008692616,-10996.287008692616,-2214.218746907218,-2214.218746907218,0.0,0.0
752093.04660003;	0.0,40.0,10.241163900898393,10.241163900898393,-10986.045844791717,-10986.045844791717,-10986.045844791717,-2210.965733486733,-2210.965733486733,0.0,0.0
752093.4272791271;	0.0,41.0,4.1349535670671,4.1349535670671,-10981.910891224652,-10981.910891224652,-10981.910891224652,-2211.131462952821,-2211.131462952821,0.0,0.0
752093.5324174401;	0.0,42.0,7.652382549521812,7.652382549521812,-10974.258508675131,-10974.258508675131,-10974.258508675131,-2208.161102199984,-2208.161102199984,0.0,0.0
752093.9477156741;	0.0,43.0,7.409740307593462,7.409740307593462,-10966.848768367538,-10966.848768367538,-10966.848768367538,-2203.9844229253563,-2203.9844229253563,0.0,0.0
752094.3387670821;	0.0,44.0,3.3178003766396102,3.3178003766396102,-10963.530967990899,-10963.530967990899,-10963.530967990899,-2202.5538911608255,-2202.5538911608255,0.0,0.0
752094.3900999951;	0.0,45.0,6.785981353418017,6.785981353418017,-10956.744986637483,-10956.744986637483,-10956.744986637483,-2199.6519098062504,-2199.6519098062504,0.0,0.0
752094.752138738;	0.0,46.0,4.499045625238059,4.499045625238059,-10952.245941012245,-10952.245941012245,-10952.245941012245,-2200.5051251458335,-2200.5051251458335,0.0,0.0
752095.121137963;	0.0,47.0,1.9706778096511073,1.9706778096511073,-10950.275263202593,-10950.275263202593,-10950.275263202593,-2200.5394233653274,-2200.5394233653274,0.0,0.0
752095.443980457;	0.0,48.0,3.1254480094745727,3.1254480094745727,-10947.14981519312,-10947.14981519312,-10947.14981519312,-2199.8736595700034,-2199.8736595700034,0.0,0.0
752095.8128060991;	0.0,49.0,2.756612884919477,2.756612884919477,-10944.393202308202,-10944.393202308202,-10944.393202308202,-2200.606659309578,-2200.606659309578,0.0,0.0
752096.2095106851;	0.0,50.0,3.7233987750540436,3.7233987750540436,-10940.669803533148,-10940.669803533148,-10940.669803533148,-2199.8816570481526,-2199.8816570481526,0.0,0.0
752096.589075626;	0.0,51.0,2.29899035532528,2.29899035532528,-10938.370813177824,-10938.370813177824,-10938.370813177824,-2200.2949029952306,-2200.2949029952306,0.0,0.0
752096.958706973;	0.0,52.0,2.2052047497995124,2.2052047497995124,-10936.165608428022,-10936.165608428022,-10936.165608428022,-2199.3995461245036,-2199.3995461245036,0.0,0.0
752097.0967682151;	0.0,53.0,1.3123260850290421,1.3123260850290421,-10934.853282342994,-10934.853282342994,-10934.853282342994,-2199.5131126457677,-2199.5131126457677,0.0,0.0
752097.419828115;	0.0,54.0,1.2356957133793998,1.2356957133793998,-10933.617586629616,-10933.617586629616,-10933.617586629616,-2199.3965213486495,-2199.3965213486495,0.0,0.0
752097.455744724;	0.0,55.0,2.4401565371904326,2.4401565371904894,-10931.177430092424,-10931.177430092424,-10931.177430092424,-2198.8074111549145,-2198.8074111549145,0.0,0.0
752097.617334413;	0.0,56.0,1.9949492733744307,1.9949492733744307,-10929.18248081905,-10929.18248081905,-10929.18248081905,-2198.723494657772,-2198.723494657772,0.0,0.0
752097.969716227;	0.0,57.0,1.0859544526544909,1.0859544526544909,-10928.096526366395,-10928.096526366395,-10928.096526366395,-2198.138307306853,-2198.138307306853,0.0,0.0
752098.098089065;	0.0,58.0,3.9662367277404966,3.9662367277404966,-10924.130289638655,-10924.130289638655,-10924.130289638655,-2197.89323056987,-2197.89323056987,0.0,0.0
752098.4893554931;	0.0,59.0,2.417876331314699,2.417876331314699,-10921.712413307341,-10921.712413307341,-10921.712413307341,-2197.5564517573566,-2197.5564517573566,0.0,0.0
752098.867913272;	0.0,60.0,1.6213196952219278,1.6213196952219278,-10920.091093612122,-10920.091093612122,-10920.091093612122,-2198.5916460643834,-2198.5916460643834,0.0,0.0
752099.0298429241;	0.0,61.0,3.8197846512485683,3.8197846512485683,-10916.271308960866,-10916.271308960866,-10916.271308960866,-2197.8302635997816,-2197.8302635997816,0.0,0.0
752099.3915325301;	0.0,62.0,12.947560424618189,12.947560424618175,-10903.323748536248,-10903.323748536248,-10903.323748536248,-2199.1336220507865,-2199.1336220507865,0.0,0.0
752099.901099066;	0.0,63.0,2.3796181859609504,2.3796181859609504,-10900.944130350286,-10900.944130350286,-10900.944130350286,-2199.3803792499657,-2199.3803792499657,0.0,0.0
752100.208509078;	0.0,64.0,3.0288206202048364,3.0288206202048364,-10897.91530973008,-10897.91530973008,-10897.91530973008,-2198.9759923390297,-2198.9759923390297,0.0,0.0
752100.645186792;	0.0,65.0,1.9524825232811054,1.9524825232811054,-10895.962827206798,-10895.9628272068,-10895.962827206798,-2198.6303017126183,-2198.6303017126183,0.0,0.0
752100.6981446451;	0.0,66.0,1.438630390539256,1.438630390539256,-10894.524196816259,-10894.524196816259,-10894.524196816259,-2198.638076564269,-2198.638076564269,0.0,0.0
752100.713617878;	0.0,67.0,1.0838290192105546,1.0838290192105546,-10893.44036779705,-10893.44036779705,-10893.44036779705,-2199.579388769777,-2199.579388769777,0.0,0.0
752101.0318644381;	0.0,68.0,0.9644515879793119,0.9644515879793119,-10892.47591620907,-10892.47591620907,-10892.47591620907,-2199.7949661728217,-2199.7949661728217,0.0,0.0
752101.098442254;	0.0,69.0,2.0618889178790027,2.0618889178790027,-10890.414027291192,-10890.414027291192,-10890.414027291192,-2199.1412117050327,-2199.1412117050327,0.0,0.0
752101.4182936411;	0.0,70.0,0.387284735157575,0.387284735157575,-10890.026742556034,-10890.026742556034,-10890.026742556034,-2199.098289930539,-2199.098289930539,0.0,0.0
752101.8403681241;	0.0,71.0,0.7745498154570214,0.7745498154570214,-10889.252192740576,-10889.252192740576,-10889.252192740576,-2198.5690573765423,-2198.5690573765423,0.0,0.0
752101.899751284;	0.0,72.0,1.7153896479047717,1.7153896479047717,-10887.536803092671,-10887.536803092671,-10887.536803092671,-2200.1798319512955,-2200.1798319512955,0.0,0.0
752102.028294933;	0.0,73.0,11.421643908395254,11.421643908395254,-10876.115159184279,-10876.115159184279,-10876.115159184279,-2197.277685817194,-2197.277685817194,0.0,0.0
752102.610009284;	0.0,74.0,5.0734211393926785,5.0734211393926785,-10871.041738044885,-10871.041738044885,-10871.041738044885,-2196.2716375164564,-2196.2716375164564,0.0,0.0
752103.227240571;	0.0,75.0,3.3531137313639903,3.3531137313639903,-10867.688624313521,-10867.688624313521,-10867.688624313521,-2195.9392214417467,-2195.9392214417467,0.0,0.0
752103.606983223;	0.0,76.0,3.972400268092059,3.9724002680920663,-10863.716224045429,-10863.716224045429,-10863.716224045429,-2195.1910487141445,-2195.1910487141445,0.0,0.0
752104.3118630111;	0.0,77.0,0.8721498753520629,0.8721498753520629,-10862.844074170076,-10862.844074170076,-10862.844074170076,-2194.98319290141,-2194.98319290141,0.0,0.0
752105.045396103;	0.0,78.0,1.0385340985371272,1.0385340985371272,-10861.805540071538,-10861.805540071538,-10861.805540071538,-2195.298085203749,-2195.298085203749,0.0,0.0
752105.1670018081;	0.0,79.0,1.0276561582853248,1.0276561582853248,-10860.777883913253,-10860.777883913253,-10860.777883913253,-2195.240577141729,-2195.240577141729,0.0,0.0
752105.53413368;	0.0,80.0,0.9382863619363206,0.9382863619363206,-10859.839597551318,-10859.839597551318,-10859.839597551318,-2195.438454545758,-2195.438454545758,0.0,0.0
752105.636006827;	0.0,81.0,0.7852597283565075,0.7852597283565075,-10859.054337822961,-10859.054337822961,-10859.054337822961,-2195.8649911281886,-2195.8649911281886,0.0,0.0
752105.739247686;	0.0,82.0,12.719465993627011,12.719465993627011,-10846.334871829336,-10846.334871829336,-10846.334871829336,-2192.728306802439,-2192.728306802439,0.0,0.0
752106.6371244631;	0.0,83.0,6.905644525402039,6.9056445254020105,-10839.429227303935,-10839.429227303935,-10839.429227303935,-2192.126550157217,-2192.126550157217,0.0,0.0
752107.632715023;	0.0,84.0,3.1821640063884473,3.1821640063884473,-10836.247063297547,-10836.247063297547,-10836.247063297547,-2191.9171424916617,-2191.9171424916617,0.0,0.0
752108.0600230191;	0.0,85.0,2.611514453135584,2.611514453135584,-10833.635548844411,-10833.635548844411,-10833.635548844411,-2192.2614943504273,-2192.2614943504273,0.0,0.0
752108.1640711421;	0.0,86.0,5.967787640842253,5.967787640842253,-10827.667761203571,-10827.667761203571,-10827.667761203571,-2191.3441388489364,-2191.3441388489364,0.0,0.0
752108.3440616911;	0.0,87.0,0.8986986954968688,0.8986986954968403,-10826.769062508074,-10826.769062508074,-10826.769062508074,-2191.305519178886,-2191.305519178886,0.0,0.0
752109.2999313431;	0.0,88.0,1.592734449129395,1.592734449129395,-10825.176328058946,-10825.176328058946,-10825.176328058946,-2191.4574483053957,-2191.4574483053957,0.0,0.0
752109.7026926511;	0.0,89.0,1.5243311089196254,1.5243311089196254,-10823.651996950026,-10823.651996950026,-10823.651996950026,-2190.7463682145494,-2190.7463682145494,0.0,0.0
752109.7913136961;	0.0,90.0,0.7389564952217427,0.7389564952217427,-10822.913040454803,-10822.913040454803,-10822.913040454803,-2191.7153153550407,-2191.7153153550407,0.0,0.0
752109.874752408;	0.0,91.0,0.3636760581488717,0.3636760581488717,-10822.549364396657,-10822.549364396657,-10822.549364396657,-2191.7553913971756,-2191.7553913971756,0.0,0.0
752110.238525134;	0.0,92.0,0.5676054377708901,0.5676054377708901,-10821.981758958884,-10821.981758958884,-10821.981758958884,-2191.950984208917,-2191.950984208917,0.0,0.0
752110.6278909481;	0.0,93.0,7.287620355275521,7.287620355275436,-10814.694138603609,-10814.694138603609,-10814.694138603609,-2186.5772295808088,-2186.5772295808088,0.0,0.0
752111.8226914391;	0.0,94.0,9.982829297941393,9.982829297941393,-10804.711309305667,-10804.711309305667,-10804.711309305667,-2184.563072548334,-2184.563072548334,0.0,0.0
752112.300676272;	0.0,95.0,3.412728890362999,3.412728890362999,-10801.298580415303,-10801.298580415303,-10801.298580415303,-2184.5438338935014,-2184.5438338935014,0.0,0.0
752112.4689057131;	0.0,96.0,4.843531209785077,4.843531209785077,-10796.455049205517,-10796.455049205517,-10796.455049205517,-2183.071227031569,-2183.071227031569,0.0,0.0
752113.0738894681;	0.0,97.0,4.23973315026489,4.23973315026489,-10792.21531605525,-10792.21531605525,-10792.21531605525,-2183.3060443944883,-2183.3060443944883,0.0,0.0
752113.601606138;	0.0,98.0,1.531719807523217,1.531719807523217,-10790.683596247727,-10790.683596247727,-10790.683596247727,-2183.087588478902,-2183.087588478902,0.0,0.0
752114.0718796051;	0.0,99.0,0.9831518472348648,0.9831518472348648,-10789.700444400492,-10789.700444400492,-10789.700444400492,-2182.4320569203696,-2182.4320569203696,0.0,0.0
752114.19044081;	0.0,100.0,0.962469426214625,0.962469426214625,-10788.73797497428,-10788.73797497428,-10788.73797497428,-2183.6758289194354,-2183.6758289194354,0.0,0.0
