Cycle;It;Time;TotalTime;Size;Operation;TrainLL;ValidLL;TestLL
0;29;1.4959419010000001;29.351956549;586.0;Split(417,37,226,[C(43),C(-43)],MaxDepth(3));-11.305539833899074;-11.25688110330574;NaN
0;30;0.23782966400000002;29.589786213;618.0;Split(219,53,749,[C(35),C(-35)],MaxDepth(3));-11.303731385500694;-11.255290220881673;NaN
0;31;3.506008816;33.095795029;622.0;Clone(271,89,[{627:271}],MaxDepth(3));-11.299413917097763;-11.247033366606068;NaN
0;32;0.634029331;33.72982436;657.0;Split(219,53,699,[C(37),C(-37)],MaxDepth(3));-11.266301827805746;-11.2166726152488;NaN
0;33;6.182664347;39.912488707;696.0;Split(219,53,888,[C(39),C(-39)],MaxDepth(3));-11.245675429263967;-11.202628990059422;NaN
0;34;6.798136097;46.710624804000005;698.0;Clone(81,48,[{844:840,842:840}],MaxDepth(3));-11.239002595212272;-11.193277916104988;NaN
0;35;1.466220101;48.176844905;712.0;Clone(470,105,[{905:190}],MaxDepth(3));-11.209113893793043;-11.169063387826757;NaN
0;36;1.6989685950000002;49.87581350000001;741.0;Split(905,101,190,[C(44),C(-44)],MaxDepth(3));-11.193004308884838;-11.151994578190632;NaN
0;37;1.736469912;51.612283412000004;782.0;Split(219,53,889,[C(36),C(-36)],MaxDepth(3));-11.14793241342262;-11.117249319097104;NaN
0;38;9.431730601;61.044014013;796.0;Clone(470,105,[{999:190}],MaxDepth(3));-11.094463947323604;-11.078898438079827;NaN
0;39;1.953827849;62.997841862;835.0;Split(219,53,1036,[C(39),C(-39)],MaxDepth(3));-11.081703819455319;-11.069829388655714;NaN
0;40;10.433837143;73.431679005;837.0;Clone(249,10,[{1054:1048,897:891}],MaxDepth(3));-11.075678290853984;-11.064276634269252;NaN
0;41;0.295278869;73.72695787400001;880.0;Split(1062,101,190,[C(44),C(-44)],MaxDepth(3));-11.061764202319802;-11.051850868468804;NaN
0;42;1.9918856560000002;75.71884353;894.0;Clone(293,21,[{822:782,1086:997,928:295}],MaxDepth(3));-11.041108835100957;-11.031935690482628;NaN
0;43;3.1790138270000003;78.897857357;905.0;Clone(407,77,[{1065:409,1003:409,908:409}],MaxDepth(3));-11.024082634376299;-11.011911111284391;NaN
0;44;3.083397057;81.981254414;916.0;Clone(195,63,[{1068:196,911:196,804:196}],MaxDepth(3));-11.009390304820398;-10.995966088070473;NaN
0;45;2.90786662;84.889121034;924.0;Clone(377,41,[{913:377,1070:377,806:377}],MaxDepth(3));-10.999989920071274;-10.996424998500352;NaN
