751068.508356841;	cycle,it,executionDll, simulationDll, executionTrainLl, simulationTrainLl,realTrainLl, executionValidLl, realValidLl, executionTestLl, realTestLl
751080.132257226;	0.0,26.0,376.21028545269155,376.21028545269155,-47830.18757804063,-47830.18757804063,-47830.18757804063,-9725.389580651883,-9725.389580651883,0.0,0.0
751081.9537695331;	0.0,27.0,871.861260075249,871.8612600752491,-46958.326317965395,-46958.326317965395,-46958.326317965395,-9550.332147563673,-9550.332147563673,0.0,0.0
751082.741668015;	0.0,28.0,743.5441237877702,743.5441237877702,-46214.782194177606,-46214.782194177606,-46214.782194177606,-9417.12149911161,-9417.12149911161,0.0,0.0
751083.5931057261;	0.0,29.0,580.408604664676,580.408604664676,-45634.373589512936,-45634.373589512936,-45634.373589512936,-9311.593470284757,-9311.593470284757,0.0,0.0
751084.3836262841;	0.0,30.0,461.7981680671288,461.79816806712876,-45172.5754214458,-45172.5754214458,-45172.5754214458,-9223.183473895431,-9223.183473895431,0.0,0.0
751085.2242683;	0.0,31.0,121.3911478963239,121.3911478963239,-45051.18427354947,-45051.18427354947,-45051.18427354947,-9208.317541134576,-9208.317541134576,0.0,0.0
751085.266672;	0.0,32.0,554.5050006274989,554.5050006274989,-44496.679272921996,-44496.679272921996,-44496.679272921996,-9089.998614445964,-9089.998614445964,0.0,0.0
751086.0602840021;	0.0,33.0,106.320833657214,106.320833657214,-44390.35843926477,-44390.35843926477,-44390.35843926477,-9069.55701461761,-9069.55701461761,0.0,0.0
751087.73091676;	0.0,34.0,99.03029481856208,99.03029481856208,-44291.328144446226,-44291.328144446226,-44291.328144446226,-9048.278289968546,-9048.278289968546,0.0,0.0
751087.798053744;	0.0,35.0,124.03678230727917,124.03678230727917,-44167.29136213894,-44167.29136213894,-44167.29136213894,-9032.474939154718,-9032.474939154718,0.0,0.0
751087.991025845;	0.0,36.0,481.12702028559215,481.12702028559215,-43686.16434185333,-43686.16434185332,-43686.16434185333,-8921.659317786596,-8921.659317786596,0.0,0.0
